SatisfiesConds,Places,Transitions,Arcs,Variables,Conditions,Boundedness,LtsStates,LtsArcs,CgRefStates,CgRefArcs,DeadTransitions,Deadlocks,Soundness,VerificationTime,LtsTime,CgRefTime,Id
True,4,5,10,1,2,True,5,5,5,5,0,True,False,80,54,15,b8fc8056-31b7-4176-b1d7-3d5de6a709f4
True,4,5,10,1,2,True,5,6,5,6,0,False,False,114,73,21,74023dac-5754-47a6-bdd1-60bbf8ca0b62
True,4,5,10,1,2,True,6,7,6,7,0,True,False,116,71,28,428377ce-68f5-4a76-95a2-d1bd0946d104
True,8,10,21,2,4,True,22,43,22,43,2,True,False,362,184,157,82624605-d1a6-4dfd-b018-e46c5629c4a0
True,8,10,20,2,5,True,22,38,22,38,2,True,False,227,119,93,d6a971f7-bed1-464e-97a6-39338c83d0f7
True,12,15,32,3,7,True,53,118,53,118,1,False,False,1068,555,494,7d805df9-d690-4ed4-9b3c-60a5da3e5bff
True,12,15,32,3,7,True,10,10,11,11,6,True,False,114,71,31,b5a03be8-a6ac-48c9-975a-5175ba49f0dc
True,12,15,32,3,7,True,88,159,99,180,0,True,False,1286,526,697,be21b027-c055-4f37-89da-4a2b307273db
True,16,20,43,5,10,True,2294,4566,3425,7009,0,True,False,172958,51731,121213,6342cbfd-1cdb-4db4-bcd2-3ac087681f20
True,16,20,43,5,10,True,42,49,42,49,4,True,False,314,148,157,5f1a525d-eccb-4650-9c0c-8b3a1b89c764
True,16,20,43,5,10,True,103,178,103,178,7,True,False,1045,492,544,2506b47a-5fd0-45fb-aba8-ec8435017cf7
True,20,25,53,6,12,True,28,33,32,38,9,True,False,362,177,164,714e25aa-3ce5-482f-8cdd-222c2126630f
True,20,25,52,6,12,True,98,188,189,370,9,True,False,2980,667,2136,1d7059c2-214d-41de-97d0-62faf5a628c9
True,20,25,53,6,11,True,103,246,109,261,8,True,False,1675,713,946,b6c604aa-2994-4bac-9ff5-3581efd4cb50
True,24,30,64,7,15,True,124,220,149,272,14,True,False,1874,602,1263,ad163bd6-77dc-4635-8f6f-2635a1634a31
True,24,30,63,7,15,True,53,90,59,103,7,True,False,803,338,441,24782c32-d348-41b0-a4ff-d61ea3f81c59
True,24,30,63,7,15,True,38,47,39,48,10,True,False,312,142,161,0a223947-6f71-4627-a465-e8a0f00cc4ee
True,28,35,74,8,17,True,267,514,267,514,13,True,False,3980,1820,2151,a7bf4831-2b9c-40a3-beb4-c1e8fbf32b8f
True,28,35,75,8,17,True,106,173,106,173,8,True,False,1342,568,760,e0a2a924-db85-40d6-8598-7143e3ad97ce
True,28,35,75,8,17,True,37,39,46,48,15,True,False,421,174,233,f1a584fc-45a4-4850-8c00-3485ad0bd2aa
True,32,40,86,10,20,True,2623,7421,2873,8180,17,True,False,100799,42914,57875,512a6826-3fcb-4cfe-858e-d5719dfe9beb
True,32,40,86,10,20,True,172,354,172,354,14,True,False,3212,1332,1863,56fc33d5-0b1d-44ab-87d8-3fc20b7f36c6
