SatisfiesConds,Places,Transitions,Arcs,Variables,Conditions,Boundedness,LtsStates,LtsArcs,CgRefStates,CgRefArcs,DeadTransitions,Deadlocks,Soundness,VerificationTime,LtsTime,CgRefTime,Id
True,7,6,12,7,5,True,5,4,0,0,2,True,False,75,75,0,b7818824-b645-4053-a986-955d9629938b
True,15,16,54,8,25,False,30,29,0,0,5,False,False,161,161,0,28ddde75-38b6-4e55-b139-4246e56bd831
True,23,21,46,20,0,True,244,508,0,0,0,False,False,1383,1383,0,260a2836-24cf-4b84-aed1-1971fd945c1c
True,18,8,37,20,1,True,9,8,0,0,0,True,False,67,67,0,b06881cb-73ef-4fff-bf8b-36ba862c25f6
True,4,23,49,2,18,False,41,67,0,0,0,False,False,382,382,0,9ea74b47-3510-4253-9322-4b46555b5944
True,5,7,16,20,18,False,9,8,0,0,1,False,False,116,116,0,21631fb8-dac6-48ec-8528-afed34d5eba8
True,14,8,31,21,22,True,16,20,0,0,0,True,False,195,195,0,1c05eb46-9124-4e24-bb9d-725b36c3eb2b
True,17,2,35,2,10,True,3,2,0,0,0,True,False,61,61,0,ab8cdfaa-fdf8-4569-abdb-97f428f4516d
True,25,25,58,1,4,False,28,27,0,0,11,False,False,101,101,0,8c089ed2-6789-4636-b26c-be2c0f39bb5e
True,22,2,50,5,13,True,3,2,0,0,0,True,False,63,63,0,aa4e1038-cb3e-49d2-9d3c-abb866245060
True,17,21,50,23,4,False,21,20,0,0,9,False,False,125,125,0,5539de39-7474-4a12-81c2-9f34a1031fef
True,10,2,18,23,2,True,3,2,0,0,0,True,False,53,53,0,ac8be366-6c10-49bd-8ff9-8776109595f0
True,6,12,35,14,3,False,9,9,0,0,3,False,False,64,64,0,2ec17a8e-3b87-4a6a-9cae-60c63d1f73d0
True,15,2,34,10,20,True,3,2,0,0,0,True,False,71,71,0,18199992-2988-405c-b00a-868c06a3cb0c
True,13,14,39,11,6,False,18,17,0,0,5,False,False,108,108,0,389cb942-4228-4ff0-b36e-b7f594c71741
True,24,4,46,8,5,True,4,3,0,0,1,True,False,65,65,0,b93e6e0b-7b66-487c-b05b-f2f7d23d61e7
True,9,11,25,19,21,False,16,15,0,0,3,False,False,146,146,0,5e394cd1-bf92-4467-aa1f-6297d3fd25cf
True,15,5,43,9,17,False,14,13,0,0,0,False,False,202,202,0,55eecb3b-f258-4c94-b3ca-833ff8e39144
True,22,23,62,12,15,False,231,230,0,0,9,False,False,1591,1591,0,a591e995-bd41-434a-bd52-c1faca96a087
True,16,4,36,15,0,True,5,4,0,0,0,True,False,64,64,0,75c1820b-4696-434a-a19f-95e3f2cb89a7
True,13,15,31,19,1,True,13,14,0,0,1,True,False,69,69,0,ecde1284-4afa-4466-bb98-ee13d99394f7
True,20,25,56,14,4,False,28,27,0,0,11,False,False,93,93,0,0c227b0d-dc4d-4309-a2ea-b2b0e5e814ff
True,15,6,46,17,16,False,35,34,0,0,0,False,False,398,398,0,14275595-7ec6-42c8-9564-3a7d9f3ce013
True,11,4,28,17,13,False,8,7,0,0,0,False,False,107,107,0,6f216ef7-6dd6-40fd-a4ed-339faa653b5d
True,21,8,48,8,3,False,19,18,0,0,0,False,False,86,86,0,09ee9d7e-c462-4400-a873-c92c7ab3b186
True,20,20,43,21,6,False,17,16,0,0,7,False,False,82,82,0,24307578-aeea-44a2-991c-c3edd3535f89
True,20,4,40,9,16,True,5,4,0,0,0,True,False,77,77,0,7a405660-27c8-4daf-800c-643de496e507
True,5,8,16,6,3,True,10,16,10,16,0,False,False,202,86,59,94ce4f14-93e4-49cf-b635-1d6e213d2588
True,20,15,44,11,8,False,52,51,0,0,0,False,False,277,277,0,06a0da35-0c3e-46ec-ba42-95444ae2476d
True,20,5,49,13,2,True,6,5,0,0,0,True,False,87,87,0,574d9be3-3588-4bf8-b482-e0244321e966
True,8,13,33,18,21,False,31,30,0,0,4,False,False,258,258,0,b6648022-a83b-4a70-86a8-8f1c242a3e67
True,24,12,52,4,22,False,26,25,0,0,4,False,False,150,150,0,aa4d0272-143b-4462-a265-86f92fe73945
True,13,6,25,12,10,True,7,6,0,0,0,True,False,95,95,0,b386e6e0-fc6b-4544-a928-803e17bae0f4
True,21,23,57,16,7,False,26,25,0,0,9,False,False,161,161,0,89645f5a-f415-4316-b0e6-136b3bb68b4c
True,22,18,45,9,6,True,14,13,0,0,5,True,False,70,70,0,3e1d92c6-32a1-4155-9580-e9d5eb443ff5
True,13,21,46,17,11,False,12,12,0,0,9,False,False,90,90,0,4ef2f32e-2924-4b6c-8e78-efca188af928
True,19,20,42,2,23,False,44,45,0,0,4,False,False,193,193,0,0349c1b7-73ba-4667-9eac-da4b184cd882
True,20,15,45,1,15,False,25,24,0,0,3,False,False,125,125,0,6c5ec04b-4f85-47ed-b1be-f5437f6a7952
True,19,2,39,13,9,True,3,2,0,0,0,True,False,59,59,0,b2238e21-3b97-4866-bca9-98820bd121de
True,4,13,26,22,0,False,4,10,0,0,3,False,False,82,82,0,553743b4-1ebc-4ee3-b7ee-7d93a761f88c
True,7,8,33,7,13,False,6,5,0,0,3,False,False,79,79,0,624b457c-3bba-42cd-acfb-eb12c49605d3
True,13,6,28,6,11,True,23,35,0,0,0,True,False,216,216,0,b5fdba1b-5b90-47b9-a45a-8a9b665450e7
True,15,3,33,6,21,False,7,6,0,0,0,False,False,336,336,0,18e6d3af-d479-487d-8ef4-dc954837c317
True,14,16,32,17,13,True,21,21,0,0,2,True,False,123,123,0,92344040-c981-48ef-ac01-1a557bb7f9bc
True,13,25,57,7,20,False,35,35,0,0,7,False,False,181,181,0,bae5df0a-5552-476e-b4bb-eb1f08979e3a
True,8,11,28,13,9,False,25,24,0,0,2,False,False,128,128,0,142e3850-df67-432a-a938-38eb08b9039a
True,8,14,28,1,8,True,23,38,0,0,1,False,False,157,157,0,28798579-709d-42b9-ac3a-1c43aedb7cca
True,8,4,19,23,3,True,8,8,0,0,0,True,False,79,79,0,eaa0ddcd-f260-40f0-ab27-75574a433b47
True,11,14,36,14,13,False,56,55,0,0,5,False,False,257,257,0,527ed5f5-1555-4cf0-94a0-4b6625449cf4
True,7,9,36,20,25,False,9,8,0,0,3,False,False,121,121,0,3e85ce78-1f16-4822-9d98-f96dc7b5a309
True,5,24,66,15,25,False,24,24,0,0,11,False,False,139,139,0,25e1d55f-0e0e-4bec-baca-b70bc6bc7270
True,6,10,32,20,15,False,19,18,0,0,3,False,False,158,158,0,27ba8128-9f99-4fd7-980e-9e5be44fe9bf
True,24,5,57,6,25,True,6,5,0,0,0,True,False,75,75,0,9391fa22-be10-4318-b2db-30520b89d63a
True,12,7,22,9,11,True,8,7,8,7,0,True,False,144,75,39,52a0e7fd-1b68-440e-9966-54b3803fe043
True,15,20,40,7,14,True,548,639,548,639,0,False,False,60208,19696,20677,90d5a9e8-4d95-4775-b501-6b31c080a699
True,23,16,48,4,2,False,84,83,0,0,0,False,False,308,308,0,2fe325f6-8704-4e6a-8fca-60c2b7f36be4
True,20,2,45,7,21,True,3,2,0,0,0,True,False,65,65,0,1d92caad-009d-4c54-a19e-5ea4b099c065
True,8,11,40,8,21,False,8,7,0,0,4,False,False,73,73,0,3e5639cc-148b-425f-a4b6-12a6e3533dc4
True,14,6,35,8,5,False,8,7,0,0,2,False,False,71,71,0,1fcfe2cf-5c93-4fef-84ae-736b9a2c89e3
True,23,5,53,24,20,True,6,5,0,0,0,True,False,88,88,0,6b2e42f2-5859-478d-8e7e-5d606f184fcf
